title,published_dt,sources,sections,urls
North Carolina system to start going out of network with UnitedHealthcare in April,2026-03-17T11:51:06-05:00,Beckers Payer,contracting,https://www.beckerspayer.com/contracting/north-carolina-system-to-start-going-out-of-network-with-unitedhealthcare-in-april
Anthem Indiana's new leader: Designated orthopedic network 'just the first lever we'll be pulling',2026-03-17T21:02:15-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/anthem-indianas-new-leader-designated-orthopedic-network-just-the-first-lever-well-be-pulling
BCBS Illinois to tighten E/M billing rules,2026-03-17T10:17:59-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/bcbs-illinois-to-tighten-e-m-billing-rules
"Payer, hospital groups decry possible QHP certification of non-network plans",2026-03-17T15:57:28-05:00,Beckers Payer,policy_updates,https://www.beckerspayer.com/policy-updates/payer-hospital-groups-decry-possible-qhp-certification-of-non-network-plans
Knowtion Health acquires RCM firm,2026-03-17T11:45:10-05:00,Beckers Hospital Review,finance,https://www.beckershospitalreview.com/finance/revenue-cycle-management/knowtion-health-acquires-rcm-firm
Moody's upgrades Tampa General's credit rating,2026-03-17T09:43:30-05:00,Beckers Hospital Review,finance,https://www.beckershospitalreview.com/finance/moodys-upgrades-tampa-generals-credit-rating
Cedars-Sinai buys retail complex 'in prime location' for $270M — 4 things to know,2026-03-17T09:41:42-05:00,Beckers Hospital Review,finance,https://www.beckershospitalreview.com/finance/cedars-sinai-buys-retail-complex-in-prime-location-for-270m-4-things-to-know
Mount Sinai reaches for the mic amid Anthem dispute fallout,2026-03-17T09:40:44-05:00,Beckers Hospital Review,finance,https://www.beckershospitalreview.com/finance/mount-sinai-reaches-for-the-mic-amid-anthem-dispute-fallout
Oklahoma hospital delays payroll,2026-03-17T09:36:52-05:00,Beckers Hospital Review,finance,https://www.beckershospitalreview.com/finance/oklahoma-hospital-delays-payroll
UW Health seeks chief technology officer,2026-03-17T16:53:55-05:00,Beckers Hospital Review,finance,https://www.beckershospitalreview.com/healthcare-information-technology/uw-health-seeks-chief-technology-officer
