title,published_dt,sources,sections,urls,keep_reason,is_keep_override,excluded_reason
$13.4B premium hike due to Medicare Advantage overpayments: Report,2026-03-10T20:11:12+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMisAFBVV95cUxPQVlyRDlFNTJFNW44YmYtZ0MwVURKSEp2UDcwcDZTdmtxVFhTd09FRzRHMEpmYjllM2V4VmFZdGdiMUl2Wk5SMmhkOGVrOHluY0E5ak9meDVWUVlPTXN5aFk4RldUejBpVlJnMW9jV212eXJmNGc2WHAxNm1VakRqa2tZaFhTM2ExTHd5UGhRWXJ1dm9VajRNNUpJQzlkdGp0bzB2NlZlN1NuaFVkb18xdw?oc=5,Medicare Advantage,True,
$13.4B premium hike due to Medicare Advantage overpayments: Report,2026-03-10T20:11:12+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMisAFBVV95cUxPQVlyRDlFNTJFNW44YmYtZ0MwVURKSEp2UDcwcDZTdmtxVFhTd09FRzRHMEpmYjllM2V4VmFZdGdiMUl2Wk5SMmhkOGVrOHluY0E5ak9meDVWUVlPTXN5aFk4RldUejBpVlJnMW9jV212eXJmNGc2WHAxNm1VakRqa2tZaFhTM2ExTHd5UGhRWXJ1dm9VajRNNUpJQzlkdGp0bzB2NlZlN1NuaFVkb18xdw?oc=5,Medicare Advantage,True,
$13.4B premium hike due to Medicare Advantage overpayments: Report,2026-03-10T20:11:12+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMisAFBVV95cUxPQVlyRDlFNTJFNW44YmYtZ0MwVURKSEp2UDcwcDZTdmtxVFhTd09FRzRHMEpmYjllM2V4VmFZdGdiMUl2Wk5SMmhkOGVrOHluY0E5ak9meDVWUVlPTXN5aFk4RldUejBpVlJnMW9jV212eXJmNGc2WHAxNm1VakRqa2tZaFhTM2ExTHd5UGhRWXJ1dm9VajRNNUpJQzlkdGp0bzB2NlZlN1NuaFVkb18xdw?oc=5,Medicare Advantage,True,
$13.4B premium hike due to Medicare Advantage overpayments: Report,2026-03-10T20:11:12+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMisAFBVV95cUxPQVlyRDlFNTJFNW44YmYtZ0MwVURKSEp2UDcwcDZTdmtxVFhTd09FRzRHMEpmYjllM2V4VmFZdGdiMUl2Wk5SMmhkOGVrOHluY0E5ak9meDVWUVlPTXN5aFk4RldUejBpVlJnMW9jV212eXJmNGc2WHAxNm1VakRqa2tZaFhTM2ExTHd5UGhRWXJ1dm9VajRNNUpJQzlkdGp0bzB2NlZlN1NuaFVkb18xdw?oc=5,Medicare Advantage,True,
"Lawmakers introduce bill to reverse Medicaid cuts, expand Medicare benefits",2026-03-02T08:00:00+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMivgFBVV95cUxQMTdOMTNlZzFuVElybG5uc2xIUUtBeWNUV1Jpd1dHVjdxdEg3cGxveFdub19QZEhVYzAwSnZUS3dCbTR0WDc3OUljbDdHRmdTa1hVd1ZzVHl6bExEcUFYZUpJTHVreUFTb1lEYkk1ZEJubnNmRUNEYzE5RV9vaEJJVWgzWENRV1pFLTBRUHhWRU96NG9kWmJMNHI1MXl4M0h5Yzd3ckFyYVNCOUViU2c0bWl5S3BTOFhfMXNGcW5B?oc=5,Medicaid,True,
14 notes - Becker's Hospital Review,2026-03-05T08:11:53+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMiygFBVV95cUxPcHJNNGhuajhBMi1ycE5TZXJXREh0Y2JqTEdpY01lNXMzRk9JSm51WFNpaFJGOWZUVEJHWjFITDRVbm0za2lSRTdQUmFqcWktMkxCek91dDFhNnhCSTJ6X0lBNXZ1a09HOTNiXzdGdGJOSk9ZRHhVaHR1bkQ2QjdJcjRIYlpJa3JNa0ZXUXhjYnBRQTFURGROMmF6NDR4ZW95VjJlUXNldm9SNy14MVBhSTVzSlpJWHBnbHltdTNmb0NMUzg3bzRrWkd3?oc=5,,False,
Reasons for optimism in hospital finances,2026-02-05T08:00:00+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMikgFBVV95cUxNZ2VUNm9rRWREd3BRNk8taThlTHdiQ0lvamkwQzRYdHlfWFphSWl3QzR3WkY4UmN6ZlVhbDJ6X3dSczRUOUQxYWItYWhYa0poUlB2Nm9jY0FpelE3bUdDclVwTHhZaTFzbk5wSFh4UnRkVDdfZkN0Sk9sdzZ2V3RqSXdBb1VmQ0p6SElGdG9IejBQZw?oc=5,,False,
9 hospitals closing departments or ending services,2026-02-06T08:00:00+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMingFBVV95cUxPdm1zM2szYzJvdHdOdllwYnBmUDB5ZEV6MXQ1WGhMWElxNVZjd2NieHRiR2FWRVI0T3JCcG44TkRxUC1UanRkWnlwQmxpLUtILXBIcUpEOWhWZG5UNm9WUVRWQXVXb1pvRE1ZT1BMU0I3bGxjY1hObmVzZ21VU2ZCTF9vdlduLURUOExKSTFWNzBDNTRXd3JDaWltTUg0Zw?oc=5,,False,
$13.4B premium hike due to Medicare Advantage overpayments: Report,2026-03-10T20:11:12+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMisAFBVV95cUxPQVlyRDlFNTJFNW44YmYtZ0MwVURKSEp2UDcwcDZTdmtxVFhTd09FRzRHMEpmYjllM2V4VmFZdGdiMUl2Wk5SMmhkOGVrOHluY0E5ak9meDVWUVlPTXN5aFk4RldUejBpVlJnMW9jV212eXJmNGc2WHAxNm1VakRqa2tZaFhTM2ExTHd5UGhRWXJ1dm9VajRNNUpJQzlkdGp0bzB2NlZlN1NuaFVkb18xdw?oc=5,Medicare Advantage,True,
$13.4B premium hike due to Medicare Advantage overpayments: Report,2026-03-10T20:11:12+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMisAFBVV95cUxPQVlyRDlFNTJFNW44YmYtZ0MwVURKSEp2UDcwcDZTdmtxVFhTd09FRzRHMEpmYjllM2V4VmFZdGdiMUl2Wk5SMmhkOGVrOHluY0E5ak9meDVWUVlPTXN5aFk4RldUejBpVlJnMW9jV212eXJmNGc2WHAxNm1VakRqa2tZaFhTM2ExTHd5UGhRWXJ1dm9VajRNNUpJQzlkdGp0bzB2NlZlN1NuaFVkb18xdw?oc=5,Medicare Advantage,True,
